# Items: 30000, Weight: 750000
# Index, Weight, Price
0 24 110
1 44 335
2 81 725
3 32 17
4 23 343
5 96 611
6 99 337
7 55 792
8 19 193
9 80 223
10 64 251
11 49 655
12 18 937
13 96 243
14 46 851
15 67 239
16 17 992
17 26 427
18 55 303
19 58 398
20 38 897
21 82 770
22 90 696
23 4 217
24 56 147
25 93 11
26 65 690
27 20 598
28 89 614
29 33 353
30 47 150
31 21 87
32 84 945
33 35 858
34 23 277
35 55 794
36 88 457
37 12 20
38 67 921
39 82 666
40 88 474
41 98 242
42 65 344
43 48 755
44 66 45
45 78 241
46 67 744
47 76 773
48 56 271
49 56 88
50 28 120
51 80 277
52 88 773
53 30 357
54 7 204
55 27 612
56 4 386
57 26 879
58 32 287
59 60 361
60 83 673
61 40 844
62 20 975
63 15 899
64 97 219
65 77 151
66 38 611
67 32 505
68 79 25
69 3 827
70 59 318
71 94 674
72 24 989
73 63 429
74 52 110
75 78 179
76 68 212
77 42 534
78 30 502
79 35 771
80 24 187
81 46 215
82 96 375
83 12 971
84 74 64
85 30 880
86 92 928
87 87 142
88 27 241
89 86 492
90 28 369
91 9 309
92 32 513
93 83 840
94 38 133
95 62 477
96 55 679
97 85 609
98 66 823
99 61 929
100 41 713
101 2 625
102 46 452
103 43 951
104 64 129
105 13 700
106 37 954
107 38 952
108 79 820
109 63 759
110 8 34
111 75 100
112 22 687
113 1 955
114 3 3
115 37 507
116 64 211
117 7 458
118 95 15
119 84 891
120 4 549
121 83 945
122 65 892
123 32 173
124 41 940
125 89 102
126 92 511
127 63 336
128 38 177
129 57 587
130 45 270
131 42 506
132 6 389
133 2 529
134 46 264
135 56 779
136 77 325
137 62 895
138 87 649
139 1 151
140 29 733
141 95 697
142 75 673
143 55 608
144 5 402
145 47 215
146 28 921
147 80 298
148 96 657
149 23 122
150 66 391
151 17 870
152 55 159
153 47 224
154 26 470
155 71 244
156 28 905
157 68 919
158 34 624
159 62 948
160 57 221
161 14 891
162 93 14
163 24 438
164 70 802
165 42 931
166 4 402
167 17 84
168 16 397
169 60 724
170 93 595
171 49 859
172 82 764
173 29 151
174 28 560
175 59 826
176 80 283
177 91 860
178 5 199
179 31 542
180 3 36
181 86 819
182 30 877
183 13 578
184 40 735
185 60 231
186 65 650
187 37 193
188 18 770
189 33 656
190 46 847
191 5 791
192 91 726
193 27 960
194 68 919
195 37 790
196 68 215
197 30 712
198 43 409
199 28 908
200 41 768
201 60 857
202 7 329
203 73 876
204 80 666
205 45 802
206 4 542
207 76 776
208 26 71
209 7 468
210 35 739
211 19 444
212 76 290
213 78 824
214 99 668
215 77 194
216 26 902
217 57 661
218 57 107
219 59 71
220 71 165
221 68 301
222 37 215
223 4 607
224 14 801
225 4 627
226 16 348
227 94 146
228 56 542
229 45 514
230 6 811
231 97 265
232 69 76
233 51 113
234 35 213
235 34 3
236 71 174
237 45 368
238 24 806
239 56 525
240 71 195
241 96 203
242 99 353
243 87 903
244 60 117
245 49 57
246 98 844
247 91 269
248 14 725
249 66 985
250 91 603
251 71 809
252 89 175
253 2 35
254 29 804
255 13 772
256 83 46
257 21 90
258 57 654
259 62 465
260 91 763
261 87 20
262 58 970
263 13 824
264 67 23
265 9 616
266 96 794
267 5 239
268 12 553
269 43 682
270 36 52
271 48 665
272 29 475
273 87 433
274 18 517
275 77 200
276 91 822
277 50 127
