# Items: 20000, Weight: 500000
# Index, Weight, Price
0 89 719
1 92 100
2 34 300
3 89 116
4 48 974
5 98 262
6 16 969
7 20 927
8 52 439
9 70 749
10 99 961
11 58 59
12 65 529
13 9 691
14 93 122
15 15 970
16 33 780
17 62 486
18 75 894
19 92 742
20 75 728
21 86 422
22 89 241
23 37 349
24 89 130
25 67 531
26 6 523
27 47 958
28 96 693
29 9 970
30 41 417
31 73 366
32 71 826
33 1 454
34 77 292
35 35 318
36 55 21
37 25 607
38 6 359
39 3 722
40 40 654
41 92 866
42 64 256
43 71 549
44 21 174
45 48 506
46 70 450
47 24 921
48 13 3
49 81 553
50 96 701
51 25 759
52 50 581
53 46 117
54 2 713
55 54 545
56 99 877
57 91 268
58 38 422
59 27 537
60 58 583
61 63 270
62 28 358
63 75 91
64 20 848
65 65 57
66 87 319
67 61 364
68 18 44
69 21 107
70 80 843
71 68 368
72 88 798
73 92 598
74 94 306
75 2 302
76 91 99
77 95 477
78 45 640
79 61 346
80 76 893
81 17 388
82 7 438
83 61 845
84 71 836
85 21 80
86 79 116
87 65 97
88 61 253
89 95 229
90 24 682
91 1 104
92 91 721
93 94 555
94 85 812
95 98 64
96 33 97
97 61 809
98 92 352
99 48 552
100 39 48
101 95 416
102 55 1
103 15 17
104 10 602
105 29 113
106 91 793
107 73 862
108 79 866
109 72 493
110 61 70
111 73 551
112 14 637
113 31 313
114 22 988
115 23 647
116 97 526
117 40 506
118 27 50
119 41 313
120 82 984
121 6 808
122 31 219
123 86 312
124 21 520
125 26 47
126 69 162
127 48 476
128 86 821
129 30 550
130 34 912
131 39 656
132 66 307
133 69 796
134 54 19
135 61 983
136 66 295
137 49 237
138 12 710
139 55 271
140 3 45
141 58 696
142 34 456
143 72 299
144 22 909
145 31 479
146 23 494
147 97 192
148 77 472
149 32 503
150 74 216
151 28 664
152 73 42
153 37 665
154 92 18
155 50 809
156 48 863
157 76 338
158 38 70
159 31 645
160 17 502
161 89 915
162 15 619
163 96 751
164 89 365
165 60 271
166 10 295
167 60 183
168 71 601
169 54 285
170 66 341
171 2 363
172 54 607
173 21 196
174 51 46
175 88 341
176 84 430
177 40 725
178 40 149
179 77 59
180 40 941
181 69 28
182 29 684
183 52 343
184 38 734
185 6 190
186 98 104
187 55 300
188 14 204
189 50 913
190 21 636
191 76 214
192 47 126
193 89 427
194 49 948
195 41 180
196 49 674
197 5 115
198 4 267
199 84 83
200 35 652
201 29 931
202 94 207
203 31 378
204 54 731
205 28 421
206 48 554
207 41 9
208 32 810
209 71 144
210 55 627
211 75 215
212 51 1
213 73 999
214 74 367
215 28 344
216 76 919
217 64 908
218 97 873
219 60 340
220 19 62
221 81 41
222 51 332
223 60 325
224 77 334
225 55 960
226 18 523
227 9 665
228 10 269
229 64 695
230 18 139
231 89 698
232 31 768
233 35 97
234 19 532
235 73 513
236 32 418
237 34 637
238 46 365
239 82 1
240 20 725
241 75 293
242 82 695
243 21 560
244 47 722
245 24 912
246 81 976
247 18 824
248 95 89
249 69 539
250 8 862
251 91 159
252 67 809
253 45 374
254 11 4
255 49 217
256 24 530
257 52 885
258 16 326
259 49 690
260 40 537
261 92 291
262 39 582
263 27 700
264 96 767
265 70 548
266 31 278
267 25 647
268 11 68
269 94 670
270 70 300
271 61 763
272 69 60
273 46 492
274 56 837
275 19 901
276 98 436
277 3 249
278 14 592
279 18 496
280 61 792
281 62 350
282 45 457
283 21 701
284 72 844
285 68 904
286 21 89
287 41 965
288 58 79
289 1 278
290 75 861
291 76 441
292 82 638
293 54 801
294 17 304
295 51 277
296 76 509
297 27 94
298 68 672
299 57 5
300 59 779
301 62 149
302 44 808
